PLAYER_NAME,GOALS,MATCHES_PLAYED,GOALS_PER_MATCH
Sipho Ngobeni,16,238,0.067227
Tumelo Dlamini,8,119,0.067227
Boitumelo Mabena,7,107,0.065421
Ayanda Mthembu,10,153,0.065359
Lindiwe Dlamini,18,279,0.064516
Lebogang Sithole,7,110,0.063636
Thembi Zulu,4,65,0.061538
Thabo Sithole,14,229,0.061135
Mpho Radebe,18,295,0.061017
Nokuthula Mabena,10,167,0.059880
Thabo Phiri,18,301,0.059801
Mandla Baloyi,4,67,0.059701
Lerato Tshabalala,10,168,0.059524
Karabo Mthembu,15,257,0.058366
Khanyi Phiri,5,90,0.055556
Kagiso Mokoena,7,127,0.055118
Khanyi Zulu,9,170,0.052941
Lindiwe Tshabalala,12,235,0.051064
Nomsa Hlongwane,3,59,0.050847
Sipho Mabaso,6,122,0.049180
Lebogang Mabena,18,377,0.047745
Kagiso Mthembu,10,216,0.046296
Nokuthula Hlongwane,2,44,0.045455
Nomsa Radebe,17,376,0.045213
Nokuthula Baloyi,7,164,0.042683
Zanele Tshabalala,3,73,0.041096
Mandla Mahlangu,13,320,0.040625
Vusi Mahlangu,10,248,0.040323
Kabelo Mabena,12,305,0.039344
Karabo Sithole,7,181,0.038674
Vusi Hlongwane,3,84,0.035714
Khanyi Mthembu,7,196,0.035714
Thembi Khumalo,4,117,0.034188
Tumelo Mokoena,11,326,0.033742
Mpho Tshabalala,8,241,0.033195
Nomsa Mahlangu,9,272,0.033088
Siyanda Ndlovu,4,121,0.033058
Sibusiso Khumalo,7,216,0.032407
Mandla Mthembu,8,249,0.032129
Thembi Mthembu,10,325,0.030769
Kabelo Mahlangu,6,196,0.030612
Thabo Mashaba,2,67,0.029851
Boitumelo Ndlovu,9,305,0.029508
Thabo Ndlovu,9,306,0.029412
Nomsa Ndlovu,5,170,0.029412
Sipho Ndlovu,9,307,0.029316
Khanyi Mahlangu,7,239,0.029289
Nokuthula Mahlangu,7,249,0.028112
Karabo Mthembu,5,178,0.028090
Sibusiso Radebe,3,107,0.028037
Sibusiso Ndlovu,6,217,0.027650
Thabo Khumalo,9,326,0.027607
Boitumelo Mokoena,8,290,0.027586
Lebogang Mabaso,7,266,0.026316
Lebogang Mashaba,7,267,0.026217
Thembi Mthembu,6,229,0.026201
Lebogang Mashaba,10,384,0.026042
Gugu Mabena,4,155,0.025806
Siyanda Mokoena,8,311,0.025723
Khanyi Tshabalala,3,118,0.025424
Mpho Tshabalala,9,355,0.025352
Gugu Ngobeni,7,282,0.024823
Mpho Mashaba,9,364,0.024725
Lerato Mabena,4,163,0.024540
Siyanda Mabaso,4,164,0.024390
Kabelo Mokoena,3,126,0.023810
Mandla Radebe,6,252,0.023810
Lindiwe Mabaso,8,350,0.022857
Mandla Khumalo,9,396,0.022727
Thembi Mashaba,4,179,0.022346
Thembi Tshabalala,7,324,0.021605
Ayanda Mabaso,6,279,0.021505
Karabo Phiri,8,375,0.021333
Siyanda Radebe,6,294,0.020408
Gugu Radebe,6,295,0.020339
Siyanda Mokoena,3,156,0.019231
Tumelo Dlamini,5,260,0.019231
Vusi Dlamini,6,318,0.018868
Gugu Molefe,7,379,0.018470
Mpho Hlongwane,6,327,0.018349
Ayanda Khumalo,4,227,0.017621
Nomsa Ndlovu,5,288,0.017361
Nokuthula Sithole,2,116,0.017241
Gugu Mokoena,2,117,0.017094
Nomsa Dlamini,3,176,0.017045
Kagiso Khumalo,6,373,0.016086
Thembi Nkosi,6,380,0.015789
Nomsa Hlongwane,3,195,0.015385
Thabo Khumalo,4,261,0.015326
Mandla Khumalo,3,197,0.015228
Nomsa Hlongwane,6,396,0.015152
Kabelo Mabena,5,346,0.014451
Lerato Ngobeni,2,140,0.014286
Gugu Mashaba,3,211,0.014218
Kabelo Nkosi,5,362,0.013812
Sipho Hlongwane,4,290,0.013793
Thabo Tshabalala,3,221,0.013575
Lerato Khumalo,4,304,0.013158
Mandla Baloyi,4,305,0.013115
Mandla Mabena,5,386,0.012953
Sipho Mabaso,4,335,0.011940
Boitumelo Phiri,3,261,0.011494
Lindiwe Hlongwane,4,363,0.011019
Lerato Tshabalala,2,186,0.010753
Thembi Sithole,3,279,0.010753
Vusi Nkosi,4,387,0.010336
Nomsa Zulu,2,195,0.010256
Zanele Mokoena,2,197,0.010152
Lerato Khumalo,3,300,0.010000
Karabo Mokoena,3,308,0.009740
Khanyi Baloyi,2,208,0.009615
Vusi Phiri,3,314,0.009554
Boitumelo Radebe,1,110,0.009091
Sipho Radebe,3,358,0.008380
Zanele Mokoena,3,369,0.008130
Khanyi Ndlovu,3,392,0.007653
Thembi Mahlangu,1,135,0.007407
Ayanda Zulu,2,275,0.007273
Kagiso Mashaba,2,329,0.006079
Khanyi Baloyi,2,346,0.005780
Thabo Sithole,2,364,0.005495
Sibusiso Mthembu,2,370,0.005405
Sipho Hlongwane,1,185,0.005405
Gugu Nkosi,2,400,0.005000
Lebogang Molefe,1,229,0.004367
Lindiwe Molefe,1,246,0.004065
Lindiwe Phiri,1,255,0.003922
Sipho Radebe,1,262,0.003817
Thembi Mokoena,1,296,0.003378
Nomsa Molefe,1,311,0.003215
Thabo Baloyi,1,315,0.003175
Gugu Molefe,1,361,0.002770
Lindiwe Mabaso,1,392,0.002551
Mandla Ndlovu,0,296,0.000000
Kagiso Hlongwane,0,94,0.000000
Ayanda Mabaso,0,95,0.000000
Thembi Ndlovu,0,5,0.000000
Sipho Mabena,0,36,0.000000
Boitumelo Radebe,0,238,0.000000
Karabo Mthembu,0,280,0.000000
Sipho Khumalo,0,250,0.000000
Khanyi Ndlovu,0,232,0.000000
Kagiso Mokoena,0,294,0.000000
Thembi Ngobeni,0,66,0.000000
Tumelo Zulu,0,26,0.000000
