PLAYER_NAME,GOALS,SHOT_ACCURACY
Thembi Tshabalala,7,76.7
Gugu Molefe,1,76.5
Lebogang Mabaso,7,76.4
Thembi Mthembu,6,76.4
Thabo Mthembu,22,76.2
Kabelo Mabena,5,76.2
Nomsa Hlongwane,3,75.9
Siyanda Baloyi,25,75.8
Gugu Mokoena,2,75.8
Nokuthula Mabena,10,75.5
Thembi Dlamini,77,75.3
Vusi Mabena,113,74.9
Sipho Ndlovu,9,74.8
Vusi Radebe,112,74.4
Lindiwe Phiri,1,74.1
Nokuthula Sithole,2,74.0
Lindiwe Tshabalala,8,73.9
Gugu Tshabalala,91,73.9
Thabo Mthembu,88,73.8
Sibusiso Tshabalala,91,73.7
Ayanda Molefe,77,73.6
Thembi Nkosi,6,73.4
Lindiwe Radebe,18,73.3
Boitumelo Mabena,7,73.3
Kagiso Phiri,84,73.2
Kagiso Phiri,41,73.2
Sipho Tshabalala,110,73.0
Mandla Baloyi,73,73.0
Sipho Hlongwane,4,72.9
Kagiso Mashaba,2,72.6
Mpho Mashaba,9,72.5
Lindiwe Mokoena,68,72.4
Khanyi Mthembu,7,72.2
Sibusiso Mokoena,65,72.1
Mandla Mahlangu,4,71.9
Lindiwe Mabaso,8,71.9
Siyanda Mabaso,47,71.8
Ayanda Mthembu,10,71.8
Zanele Mabaso,106,71.8
Ayanda Khumalo,4,70.9
Thembi Sithole,3,70.7
Ayanda Sithole,110,70.4
Lerato Mabena,62,70.3
Kagiso Khumalo,6,70.1
Vusi Radebe,71,70.1
Sibusiso Ndlovu,25,70.1
Sipho Nkosi,33,70.1
Lerato Mabena,4,70.1
Thembi Zulu,72,70.0
Sipho Mashaba,47,70.0
Karabo Mthembu,15,70.0
Gugu Nkosi,2,69.9
Mandla Ndlovu,0,69.9
Thembi Khumalo,4,69.9
Boitumelo Radebe,1,69.6
Thembi Dlamini,24,69.0
Zanele Ndlovu,64,68.8
Kabelo Mahlangu,6,68.7
Boitumelo Radebe,0,68.7
Boitumelo Phiri,3,68.6
Lerato Mashaba,77,68.5
Thabo Ndlovu,98,68.4
Thembi Ndlovu,61,68.3
Lebogang Mashaba,10,67.7
Nomsa Tshabalala,86,67.7
Lebogang Phiri,90,67.5
Khanyi Radebe,10,67.3
Gugu Dlamini,65,67.1
Kabelo Phiri,43,66.9
Khanyi Ndlovu,3,66.7
Lerato Khumalo,4,66.2
Tumelo Molefe,75,66.1
Kagiso Hlongwane,0,65.9
Mandla Khumalo,3,65.8
Lebogang Phiri,12,65.3
Lerato Ngobeni,2,65.3
Vusi Phiri,3,65.2
Thabo Khumalo,9,64.8
Karabo Phiri,72,64.5
Kagiso Tshabalala,36,64.4
Nomsa Ndlovu,5,64.1
Lebogang Molefe,23,63.8
Mandla Baloyi,4,63.7
Karabo Phiri,114,63.7
Tumelo Ngobeni,32,63.6
Gugu Radebe,6,63.5
Boitumelo Mokoena,8,63.4
Vusi Mthembu,82,63.4
Nomsa Hlongwane,3,63.3
Sipho Radebe,3,63.2
Lindiwe Molefe,1,63.2
Gugu Mashaba,35,63.0
Nokuthula Baloyi,7,62.8
Tumelo Dlamini,9,62.6
Tumelo Mokoena,11,62.5
Khanyi Mahlangu,7,62.5
Thabo Ndlovu,60,62.4
Karabo Phiri,8,62.1
Siyanda Mabena,118,62.1
Gugu Ngobeni,7,61.9
Thembi Ngobeni,0,61.4
Zanele Molefe,116,61.2
Ayanda Molefe,26,61.1
Sipho Phiri,91,60.8
Sibusiso Mabaso,104,60.7
Tumelo Khumalo,39,60.7
Karabo Hlongwane,43,60.7
Kabelo Mokoena,3,60.2
Karabo Phiri,28,60.1
Kagiso Zulu,89,59.5
Ayanda Khumalo,59,59.2
Nomsa Mahlangu,9,59.2
Sibusiso Mthembu,2,59.2
Lindiwe Tshabalala,12,59.2
Thabo Mashaba,2,59.1
Khanyi Nkosi,92,58.6
Sipho Dlamini,43,57.6
Lebogang Mahlangu,7,57.4
Nokuthula Ndlovu,9,57.3
Sipho Radebe,1,57.2
Kagiso Molefe,5,57.1
Lebogang Mabena,18,57.1
Zanele Phiri,117,57.1
Nomsa Radebe,17,57.0
Ayanda Sithole,29,56.9
Lerato Tshabalala,10,56.8
Tumelo Dlamini,8,56.8
Sibusiso Ngobeni,82,56.8
Thembi Mokoena,1,56.7
Sipho Ngobeni,16,56.6
Thabo Phiri,18,56.5
Tumelo Zulu,0,56.4
Nomsa Mahlangu,80,56.1
Thabo Sithole,98,55.7
Nokuthula Hlongwane,2,55.7
Khanyi Zulu,9,55.5
Siyanda Ndlovu,4,55.1
Lindiwe Zulu,34,55.0
Lindiwe Radebe,3,54.9
Vusi Dlamini,6,54.8
Khanyi Baloyi,2,54.8
Ayanda Mabaso,0,54.6
Lebogang Zulu,37,54.3
Siyanda Mahlangu,6,54.2
Mandla Baloyi,89,54.1
Ayanda Sithole,107,54.0
Gugu Mashaba,3,53.9
Gugu Mahlangu,106,53.8
Nokuthula Mabena,7,53.6
Lerato Khumalo,3,53.4
Thabo Mashaba,7,52.5
Nomsa Dlamini,3,52.3
Lebogang Molefe,1,51.9
Kagiso Dlamini,111,51.7
Sipho Hlongwane,1,51.5
Mandla Mabena,5,51.4
Thabo Tshabalala,3,51.3
Thabo Sithole,2,51.2
Sibusiso Molefe,48,51.1
Sibusiso Ndlovu,6,51.0
Boitumelo Ndlovu,9,51.0
Mandla Radebe,6,50.7
Thabo Baloyi,1,50.7
Sibusiso Hlongwane,42,50.6
Nokuthula Dlamini,109,50.5
Vusi Khumalo,59,50.4
Lerato Mabaso,29,50.4
Lindiwe Phiri,57,50.3
Zanele Mokoena,2,50.3
Nomsa Molefe,56,50.2
Nomsa Zulu,81,49.9
Nomsa Tshabalala,21,49.9
Siyanda Baloyi,57,48.7
Mpho Tshabalala,8,48.2
Khanyi Ndlovu,0,47.9
Lindiwe Mabaso,1,47.6
Kabelo Phiri,43,47.3
Tumelo Ngobeni,4,47.1
Khanyi Ngobeni,29,47.1
Vusi Nkosi,4,47.0
Nokuthula Mahlangu,7,46.7
Siyanda Mokoena,8,46.6
Kagiso Phiri,117,46.6
Thabo Ndlovu,9,46.5
Mandla Mthembu,8,46.2
Tumelo Khumalo,48,46.0
Nokuthula Mthembu,114,45.7
Thabo Mabena,40,45.6
Vusi Radebe,102,45.5
Ayanda Mabaso,6,45.2
Siyanda Mabaso,4,44.9
Siyanda Mokoena,3,44.6
Lerato Dlamini,13,44.3
Nomsa Dlamini,22,44.2
Mandla Sithole,9,44.2
Lindiwe Mabena,53,44.2
Karabo Zulu,23,44.1
Vusi Mahlangu,10,44.1
Lindiwe Hlongwane,4,44.0
Sibusiso Khumalo,7,43.9
Lindiwe Zulu,58,43.9
Lindiwe Dlamini,18,43.7
Lindiwe Mabaso,67,43.7
Thembi Mahlangu,1,42.9
Khanyi Dlamini,10,42.9
Nokuthula Mabena,114,42.8
Lebogang Mashaba,7,42.6
Kagiso Mokoena,0,42.5
Thabo Sithole,68,42.4
Tumelo Dlamini,5,42.3
Thembi Ndlovu,0,42.2
Karabo Molefe,58,42.2
Lindiwe Radebe,113,42.0
Kagiso Mashaba,64,42.0
Mpho Tshabalala,9,42.0
Karabo Mthembu,5,41.5
Mpho Zulu,5,41.5
Kagiso Baloyi,10,41.0
Mpho Radebe,18,40.8
